buyCost,lowerBuy,lowestIndex,findhigherBuy
1.5,8152,2,4533
1.5,8152,2,4533
1.5,8152,2,4533
1.5,8152,2,4533
1.5,8152,2,4533
1.5,8152,2,4533
1.5,8152,2,4533
1.5,8152,2,4533
1.5,8152,2,4533
1.5,8152,2,4533
1.5,8152,2,4533
1.5,8152,2,4533
1.5,8152,2,4533
1.5,8152,2,4533
1.5,8152,2,4533
1.5,8900,2,3281
1.5,8900,2,3281
1.5,8900,2,3281
1.5,8901,2,3291
1.5,8901,2,3291
1.5,8901,2,3291
1.5,8893,2,3291
1.5,8893,2,3291
1.5,8893,2,3291
1.5,8793,2,3291
1.5,8793,2,3291
1.5,8868,2,3291
1.5,8868,2,3291
1.5,8868,2,3291
1.5,8868,2,3291
1.5,8868,2,3291
1.5,8844,2,3342
1.5,8289,2,3342
1.5,8319,2,3342
1.5,8319,2,3342
1.5,8319,2,3342
1.5,8319,2,3342
1.5,8319,2,3342
1.5,9074,2,3348
1.5,9074,2,3248
1.5,9074,2,3253
1.5,9074,2,3253
1.5,9064,2,3248
1.5,9064,2,3248
1.5,9054,2,3248
1.5,9034,2,4987
1.5,9034,2,4987
1.5,9034,2,4987
1.5,9034,2,4987
1.5,9029,2,1677
1.5,9029,2,1677
1.5,9030,2,1677
1.5,9023,2,1677
1.5,9023,2,1677
1.5,9023,2,1677
1.5,9023,2,1677
1.5,9023,2,1677
1.5,9023,2,1677
1.5,9023,2,1677
1.5,9023,2,1677
1.5,9951,2,1687
1.5,9951,2,1687
1.5,9951,2,1687
1.5,9951,2,1687
1.5,9950,2,1687
1.5,9950,2,1687
1.5,9950,2,1687
1.5,9950,2,1687
1.5,9950,2,1687
1.5,9950,2,1623
1.5,9950,2,1623
1.5,9950,2,1623
1.5,9947,2,1773
1.5,9942,2,1773
1.5,9942,2,1773
1.5,9917,2,1773
1.5,9966,2,1773
1.5,9966,2,1773
1.5,9966,2,1773
1.5,9946,2,1773
1.5,9946,2,1773
1.5,9946,2,1773
1.5,9946,2,1773
1.5,9946,2,1773
1.5,9596,2,1773
1.5,9596,2,1773
1.5,9596,2,1773
1.5,8614,2,1773
1.5,8359,2,1773
1.5,6705,2,1773
1.5,6705,2,1773
1.5,6705,2,1773
1.5,6802,2,1773
1.5,6802,2,1773
1.5,5201,2,1773
1.5,5201,2,1773
1.5,5201,2,1773
1.5,5201,2,1773
1.5,5201,2,1773
