buyCost,lowerBuy,lowestIndex,findhigherBuy
7.0,280,13,2227
7.0,280,13,2227
7.0,280,13,2227
7.0,280,13,2227
7.0,280,13,2227
7.0,280,13,2227
7.0,280,13,2227
7.0,280,13,2227
7.0,280,13,2227
8.0,366,15,2989
8.0,366,15,2989
8.0,366,15,2989
8.0,371,15,2989
8.0,371,15,2989
8.0,371,15,2989
8.0,371,15,2989
8.0,371,15,2989
8.0,371,15,2989
8.0,371,15,2989
8.0,371,15,2989
8.0,371,15,2989
8.0,371,15,2989
8.0,134,15,2989
8.0,134,15,2989
8.0,114,15,2989
8.0,114,15,2989
8.0,114,15,2989
8.0,114,15,2989
8.0,114,15,2989
8.0,109,15,2989
8.0,109,15,2989
8.0,109,15,2989
8.0,109,15,2989
8.0,109,15,2989
8.0,109,15,2989
8.0,109,15,2989
8.0,109,15,2989
8.0,109,15,2989
8.0,109,15,2989
8.0,108,15,2989
8.0,108,15,2989
8.0,108,15,2989
8.0,108,15,2989
8.0,108,15,2989
8.0,108,15,2989
8.0,108,15,2989
8.0,108,15,2989
8.0,103,15,2989
8.0,78,15,2989
8.5,776,16,2813
8.5,776,16,2813
8.5,796,16,1722
8.5,796,16,1722
8.5,796,16,1722
8.5,796,16,2813
8.5,796,16,2813
7.0,1883,13,3609
7.0,7873,13,4559
7.0,7873,13,4559
7.0,7852,13,4959
7.0,7836,13,4959
7.0,7836,13,4959
7.0,7836,13,4959
7.0,7813,13,3527
7.0,7713,13,4527
7.0,7163,13,4527
7.0,7143,13,4527
7.0,7143,13,4527
7.0,7143,13,4527
7.0,7043,13,4978
7.0,7043,13,4978
7.0,6880,13,4983
7.0,6880,13,4983
7.0,6825,13,4983
7.0,6825,13,4983
7.0,6825,13,4983
6.5,207,12,10642
6.5,207,12,10642
6.5,207,12,10642
6.5,207,12,10642
6.5,207,12,10642
6.5,207,12,10642
6.5,207,12,10642
6.5,207,12,10642
6.5,207,12,10642
6.5,150,12,9242
6.5,150,12,9142
6.5,150,12,9142
6.5,147,12,9142
6.5,137,12,9102
6.5,137,12,9102
6.5,137,12,9102
6.5,137,12,9102
6.5,137,12,9102
6.5,137,12,9102
7.0,4890,13,3253
7.0,4890,13,3253
7.0,4890,13,3253
7.0,4890,13,3253
7.0,4890,13,3253
7.0,4890,13,3253
7.0,4880,13,3253
6.5,183,12,7047
6.5,183,12,7047
6.5,182,12,6347
6.5,172,12,6347
6.5,172,12,6347
6.5,172,12,6347
6.5,572,12,6347
6.5,567,12,6347
6.5,547,12,6347
6.5,544,12,6347
6.5,544,12,6347
6.5,544,12,6347
6.5,485,12,6347
6.5,485,12,6347
6.5,485,12,6347
6.5,485,12,6347
6.5,485,12,6347
6.5,485,12,6347
6.5,485,12,6347
6.5,485,12,6347
6.5,485,12,6347
6.5,485,12,6347
6.5,485,12,6347
6.5,294,12,6372
6.5,279,12,6372
6.5,279,12,6372
6.5,279,12,6372
6.5,279,12,6372
6.5,279,12,6372
6.5,279,12,6372
6.5,279,12,6372
6.5,279,12,6372
6.5,279,12,6372
6.5,279,12,6372
6.5,279,12,6372
6.5,236,12,6372
6.5,186,12,6372
6.5,186,12,6372
6.5,186,12,6372
6.5,134,12,6372
6.5,133,12,6372
6.5,132,12,6372
6.5,131,12,6372
6.5,30,12,6372
6.5,29,12,6372
6.5,29,12,6372
6.5,28,12,6372
6.5,28,12,6372
7.0,4880,13,2583
7.0,4880,13,2583
7.0,4880,13,2583
7.0,4880,13,2583
7.0,4880,13,2583
7.0,4880,13,2583
7.0,4880,13,2583
7.0,4880,13,2583
7.0,4880,13,2583
7.0,4880,13,2583
7.0,4880,13,2582
7.0,4880,13,2582
7.0,4880,13,2582
7.0,4880,13,2582
7.0,4880,13,2582
7.0,4880,13,2582
7.0,4880,13,2582
7.0,4880,13,2582
7.0,4880,13,2582
7.0,4880,13,2582
7.0,4880,13,2582
7.0,4880,13,2582
7.0,4880,13,2582
7.0,4880,13,2582
7.0,4880,13,2582
7.0,4881,13,2582
7.0,4881,13,2582
7.0,4881,13,2582
7.0,4881,13,2582
7.0,4781,13,2582
7.0,4781,13,2582
7.0,4781,13,2582
7.0,4781,13,2582
7.0,4781,13,2582
7.0,4781,13,2582
7.5,604,14,3714
7.5,604,14,3714
7.5,604,14,3714
7.5,604,14,3722
7.5,604,14,3722
7.5,604,14,3722
7.5,604,14,3722
7.5,604,14,3722
7.5,604,14,3722
7.5,604,14,3723
7.5,604,14,3723
7.5,604,14,3723
7.5,604,14,3723
7.5,604,14,3723
7.5,704,14,3723
7.5,704,14,3723
7.5,704,14,3723
7.5,704,14,3723
7.5,704,14,3723
6.5,228,12,2689
6.5,228,12,2689
6.5,228,12,2689
6.5,228,12,2689
6.5,228,12,2689
6.5,228,12,2689
6.5,78,12,1904
6.5,78,12,1904
6.5,68,12,1909
6.5,68,12,1909
6.5,68,12,1909
6.5,68,12,1909
6.5,68,12,1909
6.5,68,12,1909
6.5,68,12,1909
6.5,1008,12,1909
6.5,1008,12,1909
6.5,1008,12,1909
6.5,1008,12,1909
6.5,1008,12,1909
6.5,1008,12,1909
6.5,1008,12,1909
6.5,930,12,1920
6.5,941,12,1920
6.5,941,12,1920
6.5,941,12,1925
6.5,936,12,1925
6.5,936,12,1925
6.5,932,12,1925
6.5,832,12,1925
6.5,582,12,1925
6.5,577,12,1925
6.5,574,12,1925
6.5,574,12,1925
6.5,574,12,1925
6.5,484,12,1925
6.5,483,12,1926
6.5,458,12,1476
6.5,358,12,1476
6.5,358,12,1476
6.5,358,12,1477
6.5,358,12,1477
6.5,357,12,1477
6.5,357,12,1477
6.5,357,12,1602
6.5,357,12,1602
6.5,352,12,1602
6.5,352,12,1602
6.5,352,12,1602
6.5,352,12,1602
6.5,352,12,1602
6.5,352,12,1602
6.5,352,12,1602
6.5,248,12,1602
6.5,228,12,1602
6.5,228,12,1602
6.5,228,12,1602
6.5,228,12,1602
6.5,228,12,1602
6.5,228,12,1602
6.5,228,12,1602
6.5,765,12,1602
6.5,725,12,1602
6.5,723,12,1602
6.5,723,12,1627
6.5,723,12,1627
6.5,523,12,1627
6.5,523,12,1627
6.5,523,12,1627
7.5,830,14,3378
7.5,830,14,3378
7.5,830,14,3378
7.5,830,14,3278
7.5,830,14,3278
7.5,830,14,3278
7.5,830,14,3278
7.5,830,14,3278
7.5,830,14,3278
7.5,830,14,3278
7.5,830,14,3278
7.5,830,14,3278
7.5,830,14,3278
7.5,830,14,3278
7.5,830,14,3278
7.5,830,14,3278
7.5,835,14,3278
7.5,835,14,3278
7.5,835,14,3278
7.5,835,14,3278
7.5,835,14,3278
7.5,835,14,3278
7.5,835,14,3278
7.5,835,14,3284
7.5,835,14,3284
7.5,835,14,3284
