buyCost,lowerBuy,lowestIndex,findhigherBuy
5.5,54,10,2869
5.5,67,10,2869
5.5,67,10,2869
5.5,67,10,2869
5.5,67,10,2869
5.5,77,10,2869
5.5,77,10,2869
5.5,77,10,2869
5.5,77,10,2869
5.5,77,10,2869
5.5,77,10,2869
5.5,77,10,2869
5.5,77,10,2869
5.5,77,10,2869
5.5,77,10,2869
5.5,77,10,2869
5.5,77,10,2869
5.5,77,10,2870
5.5,77,10,2870
5.5,77,10,2870
5.5,77,10,2870
5.5,77,10,2870
5.5,77,10,2870
5.5,77,10,2870
5.5,77,10,2870
5.5,77,10,2870
5.5,77,10,2870
5.5,77,10,2870
5.5,77,10,2870
5.5,77,10,2870
5.5,77,10,2870
5.5,76,10,2865
5.5,77,10,2865
5.5,77,10,2865
5.5,169,10,2875
5.5,169,10,2875
5.5,169,10,2875
5.5,169,10,2875
5.5,76,10,2875
5.5,76,10,2875
5.5,76,10,2875
5.5,76,10,2875
5.5,76,10,2875
5.5,76,10,2875
5.5,76,10,2875
5.5,76,10,2874
5.5,76,10,2874
5.5,76,10,2874
5.5,76,10,2874
5.5,76,10,2874
5.5,76,10,2874
5.5,65,10,2874
5.5,65,10,2874
5.5,65,10,2874
5.5,77,10,2874
5.5,77,10,2874
5.5,77,10,2874
5.5,77,10,2874
5.5,77,10,2874
5.0,6,9,2397
5.0,6,9,2397
5.0,16,9,2397
5.0,16,9,2397
5.5,77,10,2874
5.5,77,10,2874
5.5,77,10,2874
5.5,77,10,2874
5.5,77,10,2874
5.5,72,10,2874
5.5,71,10,2874
5.5,71,10,2874
5.5,71,10,2824
5.5,71,10,2824
5.5,71,10,2824
5.5,71,10,2824
5.5,71,10,2824
5.5,71,10,2824
5.5,21,10,2824
5.5,21,10,2824
5.5,10,10,2824
5.5,10,10,2824
5.5,10,10,2824
5.5,10,10,2824
5.5,10,10,2824
5.5,10,10,2824
5.5,10,10,2824
5.5,10,10,2824
5.5,10,10,2823
5.5,9,10,2823
5.5,9,10,2823
5.5,9,10,2823
5.5,9,10,2823
5.5,9,10,2823
5.5,9,10,2823
5.5,9,10,2823
5.5,9,10,2823
5.5,9,10,2823
5.5,9,10,2823
5.5,9,10,2778
5.5,9,10,2778
5.5,9,10,2778
5.0,4,9,2233
5.0,4,9,2233
5.0,4,9,2233
5.0,4,9,2233
6.0,999,11,2039
6.0,999,11,2039
6.0,999,11,2039
6.0,999,11,2039
6.0,999,11,2039
6.0,400,11,2039
6.0,400,11,2039
6.0,400,11,2039
6.0,400,11,2039
6.0,400,11,2039
6.0,400,11,2039
6.0,400,11,2039
6.0,400,11,2039
6.0,375,11,2064
6.0,375,11,2067
6.0,375,11,2067
6.0,375,11,2067
6.0,375,11,2067
6.0,375,11,2067
6.0,225,11,2067
6.0,225,11,2067
6.0,225,11,2067
6.0,225,11,2067
6.0,225,11,2067
6.0,225,11,2067
6.0,225,11,2067
6.0,225,11,2067
6.0,225,11,2067
6.0,225,11,2067
6.0,225,11,2067
6.0,225,11,2067
6.0,225,11,2067
6.0,225,11,2067
5.5,1,10,1957
5.5,1,10,1957
5.5,1,10,1957
5.5,101,10,1957
5.5,101,10,1957
5.5,101,10,1957
5.5,101,10,1957
6.0,225,11,2067
6.0,225,11,2072
6.0,225,11,2072
6.0,225,11,2072
6.0,225,11,2072
6.0,225,11,2072
6.0,225,11,2072
6.0,225,11,2372
6.0,225,11,2372
6.0,225,11,2372
6.0,225,11,2372
6.0,225,11,2372
6.0,225,11,2372
6.0,225,11,2372
6.0,225,11,2372
6.0,225,11,2372
6.0,225,11,2372
6.0,225,11,2372
6.0,225,11,2372
6.0,225,11,2372
6.0,225,11,3372
6.0,225,11,3372
6.0,225,11,3372
6.0,225,11,3372
6.0,225,11,3372
6.0,224,11,3370
6.0,221,11,3370
6.0,221,11,3370
6.0,221,11,3372
6.0,221,11,3372
6.0,221,11,3372
6.0,221,11,3372
6.0,221,11,3372
6.0,220,11,3372
6.0,215,11,3372
6.0,215,11,3372
6.0,215,11,3372
6.0,215,11,3372
6.0,215,11,3372
6.0,235,11,3372
6.0,235,11,3372
6.0,235,11,3372
6.0,235,11,3372
6.0,235,11,3372
6.0,235,11,3372
6.0,235,11,3372
6.0,235,11,3372
6.0,235,11,3372
6.0,235,11,3372
6.0,235,11,3372
6.0,235,11,3372
6.0,235,11,3372
6.0,235,11,3372
6.0,235,11,3372
6.0,225,11,3372
6.0,225,11,3374
6.0,225,11,3374
6.0,225,11,3374
6.0,225,11,3374
6.0,225,11,3374
6.0,226,11,3374
6.0,228,11,3374
6.0,228,11,3374
6.0,228,11,3374
6.0,228,11,3374
6.0,228,11,3374
6.0,228,11,3374
6.0,228,11,3374
6.0,228,11,3374
6.0,228,11,3374
6.0,226,11,3374
6.0,226,11,3374
6.0,226,11,3374
6.0,226,11,3374
6.0,226,11,3374
6.0,226,11,3374
6.0,226,11,3374
6.0,226,11,3374
6.0,226,11,3374
6.0,226,11,3374
6.0,226,11,3374
6.0,226,11,3374
5.5,232,10,3263
5.5,233,10,3258
5.5,233,10,3258
5.5,243,10,3258
5.5,243,10,3258
5.5,250,10,3258
5.5,250,10,3258
5.5,245,10,3258
5.5,245,10,3258
5.5,245,10,3258
5.5,245,10,3258
5.5,247,10,3258
5.5,247,10,3258
5.5,248,10,3258
5.5,248,10,3358
5.5,251,10,3378
5.5,251,10,3378
5.5,351,10,3378
5.5,361,10,3378
5.5,361,10,3378
5.5,361,10,3409
5.5,361,10,3409
5.5,361,10,3409
5.5,365,10,3409
5.5,366,10,3409
5.5,366,10,3409
5.5,366,10,3409
5.5,366,10,3409
5.5,366,10,3409
5.5,368,10,3409
5.5,332,10,3411
5.5,282,10,3411
5.5,232,10,3411
5.5,232,10,3401
5.5,232,10,3401
6.0,369,11,3329
6.0,369,11,3329
6.0,281,11,3329
6.0,281,11,3329
6.0,281,11,3329
6.0,281,11,3329
6.0,281,11,3329
6.0,281,11,3329
6.0,281,11,3329
6.0,281,11,3329
6.0,281,11,3329
6.0,281,11,3329
6.0,281,11,3329
6.0,281,11,3329
6.0,281,11,3329
6.0,280,11,3329
6.0,280,11,3329
6.0,300,11,3329
6.0,300,11,3329
6.0,300,11,3329
6.0,300,11,3329
6.0,300,11,3329
6.0,300,11,3329
6.0,300,11,3329
6.0,300,11,3329
6.0,300,11,3329
6.0,300,11,3329
6.0,300,11,3329
6.0,300,11,3329
6.0,300,11,3329
6.0,300,11,3329
6.0,300,11,3329
6.0,300,11,3329
6.0,300,11,3329
6.0,300,11,3329
