buyCost,lowerBuy,lowestIndex,findhigherBuy
6.0,2,11,2362
6.0,2,11,2362
6.0,2,11,2362
6.0,2,11,2362
6.0,2,11,2362
6.0,2,11,2362
6.0,2,11,2362
6.0,2,11,2362
6.0,2,11,2362
5.5,1039,10,1744
5.5,994,10,1745
5.5,995,10,1745
5.5,995,10,1745
5.5,995,10,1745
5.5,995,10,1745
5.5,995,10,1745
5.5,995,10,1745
5.5,1035,10,1745
5.5,1035,10,1745
5.5,1035,10,1745
5.5,1030,10,1745
5.5,1030,10,1745
5.5,1029,10,1745
5.5,1029,10,1745
5.5,1029,10,1745
5.5,1003,10,1545
5.5,573,10,1545
5.5,569,10,1545
5.5,119,10,1545
5.5,119,10,1545
5.5,119,10,1545
5.5,99,10,1545
5.5,74,10,1545
5.5,74,10,1545
5.5,74,10,1445
5.5,74,10,1445
5.5,74,10,1445
5.5,74,10,1445
5.5,74,10,1445
6.0,262,11,1932
6.0,262,11,1932
6.0,262,11,1932
6.0,262,11,1932
6.0,262,11,1932
6.0,262,11,1932
6.0,262,11,1932
6.0,262,11,1932
6.0,262,11,1932
6.0,262,11,1932
6.0,262,11,1932
6.0,262,11,1932
6.0,262,11,1932
6.0,262,11,1932
6.0,262,11,1932
6.0,262,11,1932
6.0,262,11,1932
6.0,262,11,1932
6.0,262,11,1932
6.0,262,11,1932
6.0,262,11,1932
6.0,262,11,1932
6.0,262,11,1932
6.0,262,11,1932
6.0,262,11,1932
6.0,262,11,1932
6.0,262,11,1932
6.0,262,11,1932
6.0,262,11,1932
6.0,262,11,1932
6.0,262,11,1932
6.0,262,11,1932
6.0,262,11,1932
6.0,262,11,1932
6.0,262,11,1922
6.0,262,11,1922
6.0,262,11,1922
6.0,262,11,1922
6.0,262,11,1922
6.0,262,11,1922
6.0,262,11,1922
6.0,262,11,1922
5.5,23,10,1435
5.5,23,10,1435
5.5,23,10,1435
5.5,23,10,1445
5.5,23,10,1445
5.5,23,10,1445
5.5,23,10,1445
5.5,23,10,1445
5.5,17,10,1444
5.5,17,10,1444
5.5,17,10,1494
5.5,17,10,1494
5.5,17,10,1494
5.5,17,10,1494
5.5,17,10,1494
5.5,17,10,1594
5.5,17,10,1594
5.5,17,10,1594
5.5,17,10,1594
5.5,17,10,1594
5.5,17,10,1594
5.5,17,10,1594
5.5,17,10,1594
5.5,17,10,1594
5.5,12,10,1641
5.5,2,10,1641
5.5,2,10,1641
5.5,52,10,1641
5.5,52,10,1641
5.5,52,10,1641
5.5,52,10,1241
5.5,52,10,1241
5.5,52,10,1241
5.5,52,10,1241
5.5,52,10,1241
5.5,40,10,1241
5.5,39,10,1241
5.5,34,10,1271
5.5,34,10,1271
5.5,34,10,1271
5.5,34,10,1271
5.5,34,10,1271
5.5,34,10,1271
5.5,34,10,1271
5.5,34,10,1271
6.0,145,11,1692
6.0,145,11,1692
6.0,145,11,1692
6.0,142,11,1692
6.0,142,11,1692
6.0,142,11,1692
6.0,145,11,1692
6.0,145,11,1692
6.0,145,11,1692
6.0,145,11,1692
6.0,145,11,1692
6.0,142,11,1692
6.0,142,11,1692
6.0,142,11,1692
6.0,142,11,1692
6.0,142,11,1692
6.0,142,11,1692
6.0,142,11,1692
6.0,142,11,1692
6.0,142,11,1692
6.0,142,11,1692
6.0,142,11,1692
6.0,142,11,1692
6.0,142,11,1692
6.0,142,11,1692
6.0,142,11,1692
6.0,141,11,1692
6.0,141,11,1692
6.0,141,11,1692
6.0,141,11,1692
6.0,141,11,1692
6.0,141,11,1692
6.0,141,11,1692
6.0,141,11,1692
6.0,141,11,1692
6.0,141,11,1692
6.0,141,11,1692
6.0,141,11,1692
6.0,141,11,1692
6.0,140,11,1692
6.0,140,11,1692
6.0,140,11,1662
6.0,140,11,1662
6.0,140,11,1662
5.5,3,10,1053
5.5,3,10,1053
5.5,3,10,1053
5.5,3,10,1053
5.5,3,10,1053
6.0,140,11,1662
6.0,490,11,1662
6.0,490,11,1662
6.0,490,11,1662
6.0,490,11,1662
6.0,490,11,1662
6.0,490,11,1662
6.0,480,11,1663
6.0,480,11,1663
6.0,480,11,1663
6.0,479,11,1663
6.0,479,11,1663
6.0,479,11,1663
6.0,479,11,1663
6.0,479,11,1663
6.0,479,11,1663
6.0,479,11,1663
5.5,10,10,1393
5.5,10,10,1543
5.5,10,10,1543
5.5,1010,10,1543
5.0,755,9,2370
5.0,755,9,2370
5.0,1505,9,2620
5.0,1502,9,3620
5.0,1502,9,3620
5.0,1502,9,3620
5.0,1502,9,4000
5.0,1502,9,4000
5.0,1502,9,4000
